Códigodo fundo;Setor;Preço Atual;Liquidez Diária;Dividendo;DividendYield;DY (3M)Acumulado;DY (6M)Acumulado;DY (12M)Acumulado;DY (3M)Média;DY (6M)Média;DY (12M)Média;DY Ano;Variação Preço;Rentab.Período;Rentab.Acumulada;PatrimônioLíq.;VPA;P/VPA;DYPatrimonial;VariaçãoPatrimonial;Rentab. Patr.no Período;Rentab. Patr.Acumulada;VacânciaFísica;VacânciaFinanceira;QuantidadeAtivos
XPPR11;Outros;R$ 96,33;31170.0;R$ 0,80;1,00%;2,28%;0,00%;0,00%;0,76%;0,00%;0,00%;3,27%;4,54%;5,59%;-23,80%;R$ 414.150.416,90;R$ 95,87;1,00;0,52%;-0,07%;0,45%;1,97%;0,00%;N/A;4
YCHY11;Outros;R$ 1.090,00;39.0;R$ 10,14;0,93%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;2,00%;14,14%;15,20%;16,44%;R$ 23.615.397,61;R$ 1.012,70;1,08;1,01%;-0,13%;0,88%;1,98%;N/A;N/A;0
MALL11;Shoppings;R$ 90,00;37451.0;R$ 0,11;0,13%;0,76%;2,17%;5,16%;0,25%;0,36%;0,43%;1,89%;-3,06%;-2,93%;-28,93%;R$ 799.513.786,94;R$ 105,75;0,85;0,11%;0,05%;0,17%;1,74%;2,00%;N/A;7
HBTT11;Títulos e Val. Mob.;R$ 1.299,00;8.0;R$ 6,00;0,47%;2,37%;4,54%;7,65%;0,79%;0,76%;0,64%;3,98%;-1,54%;-1,08%;-28,01%;R$ 170.613.559,65;R$ 946,73;1,37;0,85%;-5,93%;-5,13%;-13,00%;N/A;N/A;0
CTXT11;Lajes Corporativas;R$ 53,46;1092.0;R$ 0,38;0,81%;2,38%;4,31%;8,05%;0,79%;0,72%;0,67%;3,69%;0,09%;0,89%;-17,16%;R$ 138.413.844,91;R$ 53,35;1,00;N/A;N/A;N/A;N/A;8,60%;N/A;1
SARE11;Híbrido;R$ 86,70;11910.0;R$ 0,26;0,31%;0,93%;0,00%;0,00%;0,31%;0,00%;0,00%;1,37%;-7,98%;-7,69%;-19,75%;R$ 360.324.320,55;R$ 100,09;0,87;0,28%;-0,03%;0,25%;0,70%;0,00%;N/A;2
KNIP11;Títulos e Val. Mob.;R$ 110,16;39993.0;R$ 0,40;0,35%;1,62%;3,67%;6,89%;0,54%;0,61%;0,57%;3,03%;3,53%;3,89%;-0,46%;R$ 3.578.001.562,70;R$ 109,08;1,01;0,61%;0,47%;1,07%;-1,84%;N/A;N/A;0
TRXF11;Outros;R$ 102,50;7423.0;R$ 0,67;0,70%;2,11%;0,00%;0,00%;0,70%;0,00%;0,00%;3,27%;1,28%;1,99%;-15,21%;R$ 187.412.975,32;R$ 100,28;1,02;0,67%;-0,97%;-0,31%;2,80%;0,00%;N/A;4
XPCM11;Lajes Corporativas;R$ 61,89;19080.0;R$ 0,85;1,35%;4,75%;8,51%;15,98%;1,58%;1,42%;1,33%;7,45%;11,01%;12,51%;5,41%;R$ 148.405.192,76;R$ 61,46;1,01;1,38%;0,18%;1,56%;5,06%;0,00%;N/A;1
PLRI11;Títulos e Val. Mob.;R$ 39,98;1839.0;R$ 0,23;0,57%;1,57%;2,61%;6,07%;0,52%;0,44%;0,51%;2,19%;-12,64%;-12,15%;-27,00%;R$ 66.454.084,20;R$ 69,64;0,57;0,41%;-0,39%;0,03%;1,28%;N/A;N/A;0
SDIL11;Logística;R$ 98,20;48760.0;R$ 0,44;0,46%;1,41%;2,69%;5,86%;0,47%;0,45%;0,49%;2,31%;-0,49%;-0,03%;-18,16%;R$ 455.317.289,29;R$ 95,45;1,03;0,48%;0,02%;0,50%;2,12%;4,70%;N/A;3
RNGO11;Lajes Corporativas;R$ 82,00;5991.0;R$ 0,42;0,58%;1,72%;3,12%;6,63%;0,57%;0,52%;0,55%;2,65%;-1,70%;-1,13%;-29,17%;R$ 274.493.432,66;R$ 102,58;0,80;0,41%;0,02%;0,43%;1,76%;20,30%;N/A;3
BPFF11;Títulos e Val. Mob.;R$ 95,41;4466.0;R$ 0,50;0,51%;1,76%;4,19%;8,24%;0,59%;0,70%;0,69%;3,03%;7,86%;8,41%;-17,54%;R$ 235.806.843,03;R$ 88,35;1,08;0,57%;-17,03%;-16,56%;-15,98%;N/A;N/A;0
LASC11;Shoppings;R$ 99,89;10000.0;R$ 0,15;0,15%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,15%;0,00%;0,15%;0,15%;R$ 245.663.295,75;R$ 97,56;1,02;0,15%;0,37%;0,53%;0,53%;7,00%;N/A;3
RBVA11;Outros;R$ 142,43;12191.0;R$ 0,85;0,66%;1,99%;4,04%;8,47%;0,66%;0,67%;0,71%;3,21%;6,34%;7,04%;-11,73%;R$ 709.436.490,81;R$ 124,00;1,15;0,65%;-0,57%;0,07%;1,19%;0,90%;N/A;72
XPLG11;Logística;R$ 118,50;125987.0;R$ 0,54;0,47%;1,50%;2,88%;6,27%;0,50%;0,48%;0,52%;2,46%;2,24%;2,72%;-13,02%;R$ 1.669.459.220,94;R$ 109,33;1,08;0,49%;-0,07%;0,42%;2,17%;4,00%;N/A;11
TGAR11;Outros;R$ 122,83;20025.0;R$ 1,25;1,08%;2,59%;4,48%;8,52%;0,86%;0,75%;0,71%;3,51%;9,26%;10,44%;-14,29%;R$ 445.152.680,35;R$ 128,45;0,96;0,97%;-2,57%;-1,62%;-0,71%;N/A;N/A;0
RBED11;Outros;R$ 162,95;6249.0;R$ 1,00;0,65%;1,98%;3,44%;6,98%;0,66%;0,57%;0,58%;3,11%;0,65%;1,31%;-11,70%;R$ 267.600.680,22;R$ 149,73;1,09;0,67%;0,01%;0,68%;2,71%;0,00%;N/A;5
VRTA11;Títulos e Val. Mob.;R$ 113,29;17982.0;R$ 0,73;0,65%;1,98%;3,76%;7,33%;0,66%;0,63%;0,61%;3,22%;-0,56%;0,09%;-12,15%;R$ 504.479.454,11;R$ 104,01;1,09;0,68%;0,50%;1,19%;0,69%;N/A;N/A;0
EURO11;Logística;R$ 184,88;463.0;R$ 0,70;0,38%;1,16%;2,20%;7,95%;0,39%;0,37%;0,66%;1,87%;16,82%;17,26%;-10,73%;R$ 117.955.056,55;R$ 307,23;0,60;0,18%;0,18%;0,36%;1,24%;31,23%;N/A;6
VILG11;Logística;R$ 122,01;61037.0;R$ 0,52;0,45%;1,44%;2,89%;6,44%;0,48%;0,48%;0,54%;2,47%;2,03%;2,49%;-14,26%;R$ 790.265.301,65;R$ 112,27;1,09;0,45%;0,14%;0,58%;4,72%;0,00%;N/A;8
JSRE11;Híbrido;R$ 103,43;22626.0;R$ 0,46;0,47%;1,24%;2,40%;5,59%;0,41%;0,40%;0,47%;2,02%;-3,33%;-2,88%;-14,90%;R$ 2.333.595.239,76;R$ 112,37;0,92;0,34%;0,39%;0,73%;-1,19%;3,00%;N/A;4
RBFF11;Títulos e Val. Mob.;R$ 71,15;7187.0;R$ 0,33;0,49%;1,32%;5,34%;8,56%;0,44%;0,89%;0,71%;2,89%;-9,84%;-9,39%;-26,82%;R$ 206.284.834,56;R$ 75,23;0,95;0,40%;1,42%;1,83%;-27,53%;N/A;N/A;0
HGCR11;Títulos e Val. Mob.;R$ 107,40;27564.0;R$ 0,56;0,54%;1,77%;3,27%;6,84%;0,59%;0,54%;0,57%;2,81%;5,70%;6,27%;-9,02%;R$ 1.287.571.710,09;R$ 104,07;1,03;0,58%;0,48%;1,06%;0,36%;N/A;N/A;0
HGPO11;Lajes Corporativas;R$ 210,50;2939.0;R$ 0,89;0,44%;1,37%;2,57%;5,26%;0,46%;0,43%;0,44%;2,18%;-0,24%;0,20%;-7,57%;R$ 335.681.889,81;R$ 203,44;1,03;0,44%;0,00%;0,44%;1,82%;1,71%;1,77%;2
HGFF11;Títulos e Val. Mob.;R$ 100,45;3291.0;R$ 0,50;0,55%;1,75%;3,75%;0,00%;0,58%;0,62%;0,00%;2,83%;0,42%;0,97%;-16,52%;R$ 170.440.938,34;R$ 94,69;1,06;0,58%;2,46%;3,06%;-12,52%;N/A;N/A;0
WPLZ11;Shoppings;R$ 83,00;524.0;R$ 0,15;0,19%;0,60%;2,60%;6,12%;0,20%;0,43%;0,51%;2,07%;-2,10%;-1,92%;-23,77%;R$ 95.869.414,10;R$ 93,92;0,88;0,11%;-0,16%;-0,05%;1,28%;10,60%;N/A;1
CBOP11;Lajes Corporativas;R$ 74,91;2891.0;R$ 0,40;0,55%;1,65%;3,25%;7,00%;0,55%;0,54%;0,58%;2,70%;-1,84%;-1,30%;-21,72%;R$ 121.293.218,31;R$ 85,72;0,87;0,47%;0,06%;0,52%;2,42%;10,37%;10,76%;1
RBIV11;Títulos e Val. Mob.;R$ 80,00;8524.0;R$ 0,37;0,48%;1,38%;0,00%;0,00%;0,46%;0,00%;0,00%;1,88%;-1,50%;-1,02%;-22,13%;R$ 99.377.147,11;R$ 97,01;0,82;0,34%;0,43%;0,77%;-1,99%;N/A;N/A;0
TFOF11;Títulos e Val. Mob.;R$ 139,90;2782.0;R$ 5,00;3,57%;5,41%;8,85%;17,44%;1,80%;1,47%;1,45%;6,42%;5,71%;9,48%;-6,47%;R$ 102.518.801,33;R$ 120,54;1,16;1,24%;1,28%;2,54%;-8,93%;N/A;N/A;0
HGBS11;Shoppings;R$ 216,90;21520.0;R$ 0,35;0,17%;0,75%;2,20%;5,62%;0,25%;0,37%;0,47%;1,73%;-4,29%;-4,13%;-28,62%;R$ 2.246.764.369,54;R$ 224,68;0,97;0,16%;0,99%;1,15%;-4,93%;6,64%;N/A;16
BARI11;Títulos e Val. Mob.;R$ 97,99;2439.0;R$ 0,63;0,67%;2,14%;3,79%;0,00%;0,71%;0,63%;0,00%;3,46%;-0,64%;0,03%;-11,67%;R$ 220.114.894,14;R$ 98,52;0,99;0,64%;0,02%;0,66%;1,29%;N/A;N/A;0
TEPP11;Lajes Corporativas;R$ 91,47;4159.0;R$ 0,50;0,58%;1,66%;3,23%;0,00%;0,55%;0,54%;0,00%;2,73%;-5,33%;-4,78%;-18,03%;R$ 349.260.379,46;R$ 96,56;0,95;0,51%;0,15%;0,66%;2,06%;7,00%;N/A;3
LGCP11;Logística;R$ 100,00;1596.0;R$ 0,47;0,47%;1,38%;0,00%;0,00%;0,46%;0,00%;0,00%;1,96%;-2,45%;-1,99%;-4,70%;R$ 170.035.908,80;R$ 96,46;1,04;0,50%;0,17%;0,67%;2,27%;5,35%;N/A;3
